evidence_level,n,false_containment_detection_rate,false_containment_miss_rate,true_resolution_accuracy,false_positive_rate,abstention_rate,balanced_accuracy,resolution_precision,mean_confidence,accuracy,expected_calibration_error
E1_CLAIM,48,,,,,1.0,,,0.5083333333333333,0.0,0.5083333333333333
E2_ACTION,48,0.0,1.0,1.0,0.0,0.875,0.5,0.5,0.6260416666666666,0.0625,0.5635416666666667
E3_STATE,48,0.42857142857142855,0.5714285714285714,0.3333333333333333,0.6666666666666666,0.6666666666666666,0.38095238095238093,0.42857142857142855,0.6916666666666668,0.125,0.5666666666666667
E4_VERIFICATION,48,1.0,0.0,1.0,0.0,0.0625,1.0,1.0,0.875,0.9375,0.14583333333333337
